replica,escenario,etapa,mediana,p95,red_total,demora_semaforos_total_s
9,vista_hermosa,OSRM / velocidad,784.6322991333072,1423.959802284495,3778325.411050168,883274.0072407259
9,vista_hermosa,BPR / velocidad,788.9567573360537,1433.9028527282005,3796557.979129901,883274.0072407259
9,vista_hermosa,BPR / velocidad + semáforos,1001.9441916329588,1742.3963747222572,4679831.986370627,883274.0072407259
9,reforma,OSRM,590.3,873.4,2747653.8,508893.8416575118
9,reforma,OSRM / velocidad,553.434625793237,1004.3097224809715,2800890.310331472,508893.8416575118
9,reforma,BPR / velocidad,553.5349809266563,1004.6230656138874,2801761.9670976363,508893.8416575118
9,reforma,BPR / velocidad + semáforos,645.4636858460192,1234.158096762226,3310655.808755148,508893.8416575118
10,base,OSRM,586.3,861.2,2680781.5,514787.85325123766
10,base,OSRM / velocidad,546.8075264175005,985.3763591850308,2746753.385628659,514787.85325123766
10,base,BPR / velocidad,546.8775299084349,985.5595636751643,2747374.340697867,514787.85325123766
10,base,BPR / velocidad + semáforos,648.9592505778157,1199.1434735343807,3262162.1939491043,514787.85325123766
10,vista_hermosa,OSRM,861.5,1193.4,3631440.8,864902.9192001042
10,vista_hermosa,OSRM / velocidad,779.7549242269239,1409.1586878331755,3723715.4278853345,864902.9192001042
10,vista_hermosa,BPR / velocidad,784.5885740165345,1416.5206014864075,3740969.6450375444,864902.9192001042
10,vista_hermosa,BPR / velocidad + semáforos,1007.3725510251332,1748.5260169784565,4605872.564237649,864902.9192001042
10,reforma,OSRM,587.4,869.5,2702396.3,492561.9490694842
10,reforma,OSRM / velocidad,549.8535177365817,998.2372016733616,2768813.9962551603,492561.9490694842
10,reforma,BPR / velocidad,550.0638026824848,998.2780556445176,2769626.298822975,492561.9490694842
10,reforma,BPR / velocidad + semáforos,644.1994405626951,1227.2824740687845,3262188.247892459,492561.9490694842
11,base,OSRM,582.2,868.1,2606899.0,503189.6449916527
11,base,OSRM / velocidad,545.2120541312811,975.7305077655252,2650454.4631022336,503189.6449916527
11,base,BPR / velocidad,545.3664952332724,976.0683264542091,2651004.4950430286,503189.6449916527
11,base,BPR / velocidad + semáforos,642.0706547847144,1197.7458152446827,3154194.1400346817,503189.6449916527
