replica,escenario,fuente,metodo,demanda,vehiculos,comparables,p_sin_ruta,p_sin_ruta_base,aceptacion_nh,vc_max,mediana_base,mediana_escenario,p95_base,p95_escenario,red_total_base,red_total_escenario,libre_mediana_base,libre_mediana_escenario,libre_p95_base,libre_p95_escenario,libre_red_total_base,libre_red_total_escenario
14,vista_hermosa,lcg,polar,1.0,5144,5144,0.0,0.0,0.7388681413386958,1.345996907053344,663.0280789961384,1025.5976269646287,1209.9549379495697,1762.7891578604847,3293856.3109634207,4671986.279611972,592.4,878.6,868.1,1200.6,2714287.1,3691674.4000000004
14,reforma,lcg,polar,1.0,5144,5144,0.0,0.0,0.7388681413386958,0.6756976103567865,663.0280789961384,655.5621944518457,1209.9549379495697,1240.095690915991,3293856.3109634207,3299208.1930239243,592.4,592.4,868.1,879.1,2714287.1,2736355.2
15,base,lcg,polar,1.0,4950,4950,0.0,0.0,0.7338769458858414,0.6031594358928412,645.3258635956729,645.3258635956729,1213.731785820558,1213.731785820558,3134910.394771114,3134910.394771114,588.3,588.3,861.2,861.2,2583345.4,2583345.4
15,vista_hermosa,lcg,polar,1.0,4950,4950,0.0,0.0,0.7338769458858414,1.3209967361704607,645.3258635956729,1004.0671621426832,1213.731785820558,1750.9480158455472,3134910.394771114,4447971.213002201,588.3,868.4000000000001,861.2,1200.6,2583345.4,3528336.0
15,reforma,lcg,polar,1.0,4950,4950,0.0,0.0,0.7338769458858414,0.6212312841645767,645.3258635956729,642.2977856158819,1213.731785820558,1230.3844796894425,3134910.394771114,3137217.7660859684,588.3,588.3,861.2,868.4,2583345.4,2604497.1
16,base,lcg,polar,1.0,5166,5166,0.0,0.0,0.7383164213234243,0.8409066311193811,645.4587104235002,645.4587104235002,1204.3818598341788,1204.3818598341788,3279315.8692199537,3279315.8692199537,589.7,589.7,861.2,861.2,2705729.5,2705729.5
16,vista_hermosa,lcg,polar,1.0,5166,5166,0.0,0.0,0.7383164213234243,1.441888343718685,645.4587104235002,996.7447693193114,1204.3818598341788,1763.3766105104069,3279315.8692199537,4635671.01077886,589.7,865.6,861.2,1197.825,2705729.5,3664103.5999999996
16,reforma,lcg,polar,1.0,5166,5166,0.0,0.0,0.7383164213234243,0.8409066311193811,645.4587104235002,642.6009682223587,1204.3818598341788,1216.0193967246196,3279315.8692199537,3276246.8193856236,589.7,589.7,861.2,868.4,2705729.5,2726914.2
17,base,lcg,polar,1.0,5116,5116,0.0,0.0,0.7453379953379954,0.6547660279420254,657.3276543398633,657.3276543398633,1210.9454615323186,1210.9454615323186,3252512.5923621743,3252512.5923621743,590.3,590.3,861.2,861.2,2667648.6,2667648.6
17,vista_hermosa,lcg,polar,1.0,5116,5116,0.0,0.0,0.7453379953379954,1.3744810666165197,657.3276543398633,1010.639280921325,1210.9454615323186,1743.1699563133284,3252512.5923621743,4603645.320442311,590.3,870.1,861.2,1193.4,2667648.6,3630748.4000000004
17,reforma,lcg,polar,1.0,5116,5116,0.0,0.0,0.7453379953379954,0.6547660279420254,657.3276543398633,653.47805867395,1210.9454615323186,1230.2280065329464,3252512.5923621743,3252129.5393230245,590.3,590.3,861.2,869.5,2667648.6,2688892.6
18,base,lcg,polar,1.0,5100,5100,0.0,0.0,0.7359307359307359,0.775440637182617,643.3682108419973,643.3682108419973,1201.2126895615145,1201.2126895615145,3246992.9656576114,3246992.9656576114,589.7,589.7,868.1,868.1,2668853.6999999997,2668853.6999999997
18,vista_hermosa,lcg,polar,1.0,5100,5100,0.0,0.0,0.7359307359307359,1.4608561753926288,643.3682108419973,1013.329990842685,1201.2126895615145,1780.9693579095715,3246992.9656576114,4634803.262157865,589.7,878.1,868.1,1202.6,2668853.6999999997,3650394.2
18,reforma,lcg,polar,1.0,5100,5100,0.0,0.0,0.7359307359307359,0.775440637182617,643.3682108419973,640.9083068390132,1201.2126895615145,1223.1861155347035,3246992.9656576114,3251113.382637363,589.7,589.7,868.1,869.6950000000007,2668853.6999999997,2691745.6999999997
19,base,lcg,polar,1.0,5117,5117,0.0,0.0,0.7396646429603931,0.6152543500340474,640.0942054798055,640.0942054798055,1208.3412521331584,1208.3412521331584,3240325.5875797253,3240325.5875797253,586.3,586.3,862.4,862.4,2676500.3,2676500.3
19,vista_hermosa,lcg,polar,1.0,5117,5117,0.0,0.0,0.7396646429603931,1.4065421241633327,640.0942054798055,1003.5903943647301,1208.3412521331584,1755.281452977493,3240325.5875797253,4595036.89666678,586.3,865.6,862.4,1193.4,2676500.3,3632737.1
19,reforma,lcg,polar,1.0,5117,5117,0.0,0.0,0.7396646429603931,0.733856632589356,640.0942054798055,635.0897406426648,1208.3412521331584,1236.925002366391,3240325.5875797253,3243642.656565991,586.3,587.4,862.4,869.5,2676500.3,2697614.6
20,base,lcg,polar,1.0,5131,5131,0.0,0.0,0.735310977357409,0.7276000043631892,644.6556261122473,644.6556261122473,1200.1881012845936,1200.1881012845936,3228071.755645209,3228071.755645209,581.0,581.0,861.2,861.2,2656602.3,2656602.3
20,vista_hermosa,lcg,polar,1.0,5131,5131,0.0,0.0,0.735310977357409,1.5300811148908582,644.6556261122473,1007.141204481822,1200.1881012845936,1777.751933294052,3228071.755645209,4604890.647059036,581.0,862.1,861.2,1200.6,2656602.3,3636569.7
20,reforma,lcg,polar,1.0,5131,5131,0.0,0.0,0.735310977357409,0.7276000043631892,644.6556261122473,636.4564768118291,1200.1881012845936,1222.1866046637451,3228071.755645209,3225650.292675088,581.0,581.0,861.2,862.4,2656602.3,2677520.5
21,base,lcg,polar,1.0,5031,5031,0.0,0.0,0.7397441552712837,0.7377501632174086,652.3291160044869,652.3291160044869,1197.6565035666436,1197.6565035666436,3209007.25326519,3209007.25326519,592.4,592.4,861.8,861.8,2646023.8,2646023.8
21,vista_hermosa,lcg,polar,1.0,5031,5031,0.0,0.0,0.7397441552712837,1.4522197864834736,652.3291160044869,1020.7786290539984,1197.6565035666436,1755.5106321627304,3209007.25326519,4553366.390937585,592.4,870.1,861.8,1200.6,2646023.8,3606874.2
21,reforma,lcg,polar,1.0,5031,5031,0.0,0.0,0.7397441552712837,0.7544798489830045,652.3291160044869,649.3243413267815,1197.6565035666436,1237.5018690231163,3209007.25326519,3211093.286116787,592.4,592.4,861.8,869.5,2646023.8,2669182.9
22,base,lcg,polar,1.0,5077,5077,0.0,0.0,0.7463981182005293,0.6561001958393042,645.987336722165,645.987336722165,1209.6351758782346,1209.6351758782346,3216625.1383722406,3216625.1383722406,589.7,589.7,861.2,861.2,2655479.0,2655479.0
22,vista_hermosa,lcg,polar,1.0,5077,5077,0.0,0.0,0.7463981182005293,1.5002153319543843,645.987336722165,1005.9155662661271,1209.6351758782346,1739.0702824219381,3216625.1383722406,4550562.230985612,589.7,866.7,861.2,1193.4,2655479.0,3600307.5
22,reforma,lcg,polar,1.0,5077,5077,0.0,0.0,0.7463981182005293,0.6561001958393042,645.987336722165,642.3472075625637,1209.6351758782346,1224.47667246854,3216625.1383722406,3213687.0631844336,589.7,589.7,861.2,868.4,2655479.0,2675907.9
