replica,escenario,origen,destino,base,cerrado
8,base,z15,z15,251.5151446264495,251.5151446264495
8,base,z15,z16,243.8951665123746,243.8951665123746
8,base,z16,z10,959.827735160108,959.827735160108
8,base,z16,z15,309.3471100271198,309.3471100271198
8,base,z16,z16,297.25660177077106,297.25660177077106
8,vista_hermosa,z10,z10,304.50354307146466,304.5034646621525
8,vista_hermosa,z10,z15,785.3781711862226,1419.9113651374773
8,vista_hermosa,z10,z16,859.8162528580852,1289.7065695423698
8,vista_hermosa,z15,z10,888.1234949602872,1220.0741293164572
8,vista_hermosa,z15,z15,251.5151446264495,251.61314459752566
8,vista_hermosa,z15,z16,243.8951665123746,243.98294859966143
8,vista_hermosa,z16,z10,959.827735160108,1227.8763844438438
8,vista_hermosa,z16,z15,309.3471100271198,312.51585367164444
8,vista_hermosa,z16,z16,297.25660177077106,297.33698970656525
8,reforma,z10,z10,304.50354307146466,302.77069464161434
8,reforma,z10,z15,785.3781711862226,777.9713734667921
8,reforma,z10,z16,859.8162528580852,847.474367979802
8,reforma,z15,z10,888.1234949602872,878.4506699738798
8,reforma,z15,z15,251.5151446264495,251.51514442024452
8,reforma,z15,z16,243.8951665123746,243.8951665123746
8,reforma,z16,z10,959.827735160108,957.2051362783266
8,reforma,z16,z15,309.3471100271198,309.3470559937451
8,reforma,z16,z16,297.25660177077106,297.25660177077106
9,base,z10,z10,315.6802616623769,315.6802616623769
9,base,z10,z15,768.2375858540271,768.2375858540271
9,base,z10,z16,835.9341549849063,835.9341549849063
9,base,z15,z10,870.8927859630988,870.8927859630988
9,base,z15,z15,258.9243620027962,258.9243620027962
9,base,z15,z16,250.6196058460996,250.6196058460996
9,base,z16,z10,952.4838271401701,952.4838271401701
9,base,z16,z15,299.0170292221768,299.0170292221768
9,base,z16,z16,298.0440364975933,298.0440364975933
9,vista_hermosa,z10,z10,315.6802616623769,315.68506055239453
9,vista_hermosa,z10,z15,768.2375858540271,1378.5272458421082
9,vista_hermosa,z10,z16,835.9341549849063,1282.6350527007658
9,vista_hermosa,z15,z10,870.8927859630988,1211.266416122889
9,vista_hermosa,z15,z15,258.9243620027962,258.8957800873785
9,vista_hermosa,z15,z16,250.6196058460996,250.56213985927357
9,vista_hermosa,z16,z10,952.4838271401701,1188.5207084324247
9,vista_hermosa,z16,z15,299.0170292221768,302.81993639954146
9,vista_hermosa,z16,z16,298.0440364975933,298.04062552794585
